day,portfolio_return
20,-0.000668453
21,0.00148806
22,-0.00689807
23,-0.000895927
24,-0.0155383
25,-0.00246144
26,0.00100898
27,-0.00225091
28,0.00367673
29,0.00899054
30,-0.00202603
31,0.00275309
32,-0.00670267
33,-0.0049458
34,-0.00780031
35,-0.00743378
36,0.00984523
37,-0.0127902
38,0.00303614
39,0.0101968
40,0.00292134
41,-0.00789775
42,-0.00206876
43,-0.00797131
44,0.00657561
45,0.00360442
46,-0.00657177
47,0.00788856
48,0.0115037
49,-0.00208403
50,0.000838193
51,0.00452119
52,0.0199066
53,0.007435
54,-0.00870779
55,0.0109899
56,0.00869605
57,0.00274008
58,-0.00701063
59,-0.00557506
60,0.0144336
61,0.0103028
62,-0.00397323
63,0.00765166
64,0.00137121
65,0.0131302
66,-0.0265892
67,-0.0108943
68,0.00115501
69,-0.00132183
70,-0.00509327
71,-0.00243549
72,0.00153518
73,-0.000449666
74,0.001399
75,0.000948981
76,0.00597789
77,-0.0100825
78,0.00828626
79,-0.00110716
80,0.0146283
81,0.015477
82,-0.00534332
83,0.00358774
84,-0.00228884
85,-0.00217634
86,0.0136339
87,0.00685148
88,-0.0109156
89,0.000745519
90,-0.00133013
91,-0.00765277
92,0.00565502
93,0.0341066
94,-0.00683004
95,-0.00155856
96,0.010325
97,0.0057671
98,0.000213112
99,0.0042522
